"power" "noise" "n_loess" "method"
0.16 10 84 "ar"
1 1 85 "ar"
1 2 85 "ar"
0.816 3 85 "ar"
0.382 4 85 "ar"
0.224 5 85 "ar"
0.136 6 85 "ar"
0.094 7 85 "ar"
0.11 8 85 "ar"
0.108 9 85 "ar"
0.066 10 85 "ar"
1 1 86 "ar"
1 2 86 "ar"
1 3 86 "ar"
1 4 86 "ar"
0.962 5 86 "ar"
0.834 6 86 "ar"
0.738 7 86 "ar"
0.59 8 86 "ar"
0.468 9 86 "ar"
0.36 10 86 "ar"
1 1 87 "ar"
1 2 87 "ar"
0.57 3 87 "ar"
0.298 4 87 "ar"
0.18 5 87 "ar"
0.112 6 87 "ar"
0.146 7 87 "ar"
0.096 8 87 "ar"
0.096 9 87 "ar"
0.078 10 87 "ar"
1 1 88 "ar"
1 2 88 "ar"
1 3 88 "ar"
0.91 4 88 "ar"
0.6 5 88 "ar"
0.388 6 88 "ar"
0.332 7 88 "ar"
0.176 8 88 "ar"
0.18 9 88 "ar"
0.136 10 88 "ar"
1 1 89 "ar"
0.998 2 89 "ar"
0.778 3 89 "ar"
0.43 4 89 "ar"
0.286 5 89 "ar"
0.188 6 89 "ar"
0.18 7 89 "ar"
0.116 8 89 "ar"
0.082 9 89 "ar"
0.09 10 89 "ar"
1 1 90 "ar"
1 2 90 "ar"
0.99 3 90 "ar"
0.862 4 90 "ar"
0.506 5 90 "ar"
0.33 6 90 "ar"
0.232 7 90 "ar"
0.222 8 90 "ar"
0.148 9 90 "ar"
0.13 10 90 "ar"
1 1 91 "ar"
1 2 91 "ar"
1 3 91 "ar"
1 4 91 "ar"
0.996 5 91 "ar"
0.964 6 91 "ar"
0.858 7 91 "ar"
0.766 8 91 "ar"
0.668 9 91 "ar"
0.538 10 91 "ar"
1 1 92 "ar"
0.938 2 92 "ar"
0.216 3 92 "ar"
0.09 4 92 "ar"
0.08 5 92 "ar"
0.082 6 92 "ar"
0.096 7 92 "ar"
0.028 8 92 "ar"
0.056 9 92 "ar"
0.048 10 92 "ar"
1 1 93 "ar"
1 2 93 "ar"
0.864 3 93 "ar"
0.51 4 93 "ar"
0.31 5 93 "ar"
0.202 6 93 "ar"
0.164 7 93 "ar"
0.114 8 93 "ar"
0.098 9 93 "ar"
0.084 10 93 "ar"
1 1 94 "ar"
1 2 94 "ar"
0.978 3 94 "ar"
0.732 4 94 "ar"
0.398 5 94 "ar"
0.236 6 94 "ar"
0.21 7 94 "ar"
0.154 8 94 "ar"
0.144 9 94 "ar"
0.16 10 94 "ar"
1 1 95 "ar"
1 2 95 "ar"
1 3 95 "ar"
0.998 4 95 "ar"
0.986 5 95 "ar"
0.854 6 95 "ar"
0.708 7 95 "ar"
0.562 8 95 "ar"
0.522 9 95 "ar"
0.366 10 95 "ar"
1 1 96 "ar"
1 2 96 "ar"
0.794 3 96 "ar"
0.392 4 96 "ar"
0.26 5 96 "ar"
0.164 6 96 "ar"
0.138 7 96 "ar"
0.108 8 96 "ar"
0.098 9 96 "ar"
0.114 10 96 "ar"
1 1 97 "ar"
1 2 97 "ar"
1 3 97 "ar"
1 4 97 "ar"
0.94 5 97 "ar"
0.674 6 97 "ar"
0.518 7 97 "ar"
0.264 8 97 "ar"
0.252 9 97 "ar"
0.198 10 97 "ar"
1 1 98 "ar"
0.998 2 98 "ar"
0.592 3 98 "ar"
0.216 4 98 "ar"
0.166 5 98 "ar"
0.08 6 98 "ar"
0.076 7 98 "ar"
0.076 8 98 "ar"
0.054 9 98 "ar"
0.08 10 98 "ar"
1 1 99 "ar"
1 2 99 "ar"
1 3 99 "ar"
0.994 4 99 "ar"
0.914 5 99 "ar"
0.79 6 99 "ar"
0.642 7 99 "ar"
0.55 8 99 "ar"
0.45 9 99 "ar"
0.318 10 99 "ar"
1 1 100 "ar"
1 2 100 "ar"
1 3 100 "ar"
0.964 4 100 "ar"
0.82 5 100 "ar"
0.558 6 100 "ar"
0.406 7 100 "ar"
0.296 8 100 "ar"
0.288 9 100 "ar"
0.22 10 100 "ar"
0.446 1 1 "cor"
0.134 2 1 "cor"
0.05 3 1 "cor"
0.036 4 1 "cor"
0.046 5 1 "cor"
0.03 6 1 "cor"
0.06 7 1 "cor"
0.06 8 1 "cor"
0.052 9 1 "cor"
0.052 10 1 "cor"
0.852 1 2 "cor"
0.4 2 2 "cor"
0.132 3 2 "cor"
0.116 4 2 "cor"
0.066 5 2 "cor"
0.05 6 2 "cor"
0.064 7 2 "cor"
0.036 8 2 "cor"
0.052 9 2 "cor"
0.036 10 2 "cor"
1 1 3 "cor"
1 2 3 "cor"
1 3 3 "cor"
1 4 3 "cor"
1 5 3 "cor"
1 6 3 "cor"
0.992 7 3 "cor"
0.964 8 3 "cor"
0.914 9 3 "cor"
0.806 10 3 "cor"
