"power" "noise" "n_loess" "method"
0.204 7 97 "xi_cor"
0.172 8 97 "xi_cor"
0.116 9 97 "xi_cor"
0.092 10 97 "xi_cor"
1 1 98 "xi_cor"
0.916 2 98 "xi_cor"
0.262 3 98 "xi_cor"
0.158 4 98 "xi_cor"
0.078 5 98 "xi_cor"
0.072 6 98 "xi_cor"
0.052 7 98 "xi_cor"
0.062 8 98 "xi_cor"
0.048 9 98 "xi_cor"
0.05 10 98 "xi_cor"
1 1 99 "xi_cor"
1 2 99 "xi_cor"
0.962 3 99 "xi_cor"
0.582 4 99 "xi_cor"
0.33 5 99 "xi_cor"
0.198 6 99 "xi_cor"
0.152 7 99 "xi_cor"
0.128 8 99 "xi_cor"
0.084 9 99 "xi_cor"
0.066 10 99 "xi_cor"
1 1 100 "xi_cor"
1 2 100 "xi_cor"
0.932 3 100 "xi_cor"
0.538 4 100 "xi_cor"
0.294 5 100 "xi_cor"
0.21 6 100 "xi_cor"
0.15 7 100 "xi_cor"
0.094 8 100 "xi_cor"
0.084 9 100 "xi_cor"
0.104 10 100 "xi_cor"
1 1 1 "Hoeff"
0.442 2 1 "Hoeff"
0.176 3 1 "Hoeff"
0.044 4 1 "Hoeff"
0.054 5 1 "Hoeff"
0.036 6 1 "Hoeff"
0.05 7 1 "Hoeff"
0.068 8 1 "Hoeff"
0.052 9 1 "Hoeff"
0.04 10 1 "Hoeff"
1 1 2 "Hoeff"
0.8 2 2 "Hoeff"
0.228 3 2 "Hoeff"
0.13 4 2 "Hoeff"
0.062 5 2 "Hoeff"
0.054 6 2 "Hoeff"
0.064 7 2 "Hoeff"
0.048 8 2 "Hoeff"
0.044 9 2 "Hoeff"
0.058 10 2 "Hoeff"
1 1 3 "Hoeff"
1 2 3 "Hoeff"
1 3 3 "Hoeff"
1 4 3 "Hoeff"
1 5 3 "Hoeff"
1 6 3 "Hoeff"
0.982 7 3 "Hoeff"
0.954 8 3 "Hoeff"
0.878 9 3 "Hoeff"
0.77 10 3 "Hoeff"
1 1 4 "Hoeff"
1 2 4 "Hoeff"
1 3 4 "Hoeff"
0.924 4 4 "Hoeff"
0.732 5 4 "Hoeff"
0.444 6 4 "Hoeff"
0.408 7 4 "Hoeff"
0.244 8 4 "Hoeff"
0.212 9 4 "Hoeff"
0.204 10 4 "Hoeff"
1 1 5 "Hoeff"
1 2 5 "Hoeff"
1 3 5 "Hoeff"
1 4 5 "Hoeff"
1 5 5 "Hoeff"
0.996 6 5 "Hoeff"
0.964 7 5 "Hoeff"
0.896 8 5 "Hoeff"
0.802 9 5 "Hoeff"
0.688 10 5 "Hoeff"
1 1 6 "Hoeff"
1 2 6 "Hoeff"
1 3 6 "Hoeff"
1 4 6 "Hoeff"
0.982 5 6 "Hoeff"
0.898 6 6 "Hoeff"
0.778 7 6 "Hoeff"
0.652 8 6 "Hoeff"
0.554 9 6 "Hoeff"
0.424 10 6 "Hoeff"
1 1 7 "Hoeff"
1 2 7 "Hoeff"
1 3 7 "Hoeff"
1 4 7 "Hoeff"
0.994 5 7 "Hoeff"
0.946 6 7 "Hoeff"
0.818 7 7 "Hoeff"
0.692 8 7 "Hoeff"
0.594 9 7 "Hoeff"
0.55 10 7 "Hoeff"
1 1 8 "Hoeff"
1 2 8 "Hoeff"
0.998 3 8 "Hoeff"
0.94 4 8 "Hoeff"
0.77 5 8 "Hoeff"
0.558 6 8 "Hoeff"
0.39 7 8 "Hoeff"
0.3 8 8 "Hoeff"
0.246 9 8 "Hoeff"
0.204 10 8 "Hoeff"
1 1 9 "Hoeff"
1 2 9 "Hoeff"
1 3 9 "Hoeff"
1 4 9 "Hoeff"
1 5 9 "Hoeff"
1 6 9 "Hoeff"
0.978 7 9 "Hoeff"
0.97 8 9 "Hoeff"
0.89 9 9 "Hoeff"
0.774 10 9 "Hoeff"
1 1 10 "Hoeff"
1 2 10 "Hoeff"
1 3 10 "Hoeff"
0.986 4 10 "Hoeff"
0.828 5 10 "Hoeff"
0.692 6 10 "Hoeff"
0.53 7 10 "Hoeff"
0.44 8 10 "Hoeff"
0.332 9 10 "Hoeff"
0.286 10 10 "Hoeff"
1 1 11 "Hoeff"
1 2 11 "Hoeff"
0.804 3 11 "Hoeff"
0.482 4 11 "Hoeff"
0.278 5 11 "Hoeff"
0.194 6 11 "Hoeff"
0.14 7 11 "Hoeff"
0.148 8 11 "Hoeff"
0.142 9 11 "Hoeff"
0.132 10 11 "Hoeff"
1 1 12 "Hoeff"
1 2 12 "Hoeff"
1 3 12 "Hoeff"
0.95 4 12 "Hoeff"
0.754 5 12 "Hoeff"
0.57 6 12 "Hoeff"
0.328 7 12 "Hoeff"
0.362 8 12 "Hoeff"
0.236 9 12 "Hoeff"
0.188 10 12 "Hoeff"
1 1 13 "Hoeff"
1 2 13 "Hoeff"
1 3 13 "Hoeff"
1 4 13 "Hoeff"
1 5 13 "Hoeff"
0.998 6 13 "Hoeff"
0.984 7 13 "Hoeff"
0.948 8 13 "Hoeff"
0.826 9 13 "Hoeff"
0.72 10 13 "Hoeff"
1 1 14 "Hoeff"
1 2 14 "Hoeff"
1 3 14 "Hoeff"
0.96 4 14 "Hoeff"
0.724 5 14 "Hoeff"
0.484 6 14 "Hoeff"
0.386 7 14 "Hoeff"
0.368 8 14 "Hoeff"
0.294 9 14 "Hoeff"
0.232 10 14 "Hoeff"
1 1 15 "Hoeff"
1 2 15 "Hoeff"
0.99 3 15 "Hoeff"
0.776 4 15 "Hoeff"
0.598 5 15 "Hoeff"
0.436 6 15 "Hoeff"
0.338 7 15 "Hoeff"
0.25 8 15 "Hoeff"
0.236 9 15 "Hoeff"
0.156 10 15 "Hoeff"
1 1 16 "Hoeff"
1 2 16 "Hoeff"
0.968 3 16 "Hoeff"
0.658 4 16 "Hoeff"
0.456 5 16 "Hoeff"
0.294 6 16 "Hoeff"
0.212 7 16 "Hoeff"
0.162 8 16 "Hoeff"
0.114 9 16 "Hoeff"
0.108 10 16 "Hoeff"
1 1 17 "Hoeff"
1 2 17 "Hoeff"
1 3 17 "Hoeff"
1 4 17 "Hoeff"
1 5 17 "Hoeff"
1 6 17 "Hoeff"
0.994 7 17 "Hoeff"
0.982 8 17 "Hoeff"
0.926 9 17 "Hoeff"
0.818 10 17 "Hoeff"
1 1 18 "Hoeff"
1 2 18 "Hoeff"
1 3 18 "Hoeff"
1 4 18 "Hoeff"
1 5 18 "Hoeff"
0.94 6 18 "Hoeff"
0.868 7 18 "Hoeff"
0.69 8 18 "Hoeff"
0.47 9 18 "Hoeff"
0.506 10 18 "Hoeff"
1 1 19 "Hoeff"
1 2 19 "Hoeff"
1 3 19 "Hoeff"
0.992 4 19 "Hoeff"
0.878 5 19 "Hoeff"
0.664 6 19 "Hoeff"
0.458 7 19 "Hoeff"
0.376 8 19 "Hoeff"
0.286 9 19 "Hoeff"
0.206 10 19 "Hoeff"
1 1 20 "Hoeff"
1 2 20 "Hoeff"
0.998 3 20 "Hoeff"
0.896 4 20 "Hoeff"
0.704 5 20 "Hoeff"
0.48 6 20 "Hoeff"
0.382 7 20 "Hoeff"
0.282 8 20 "Hoeff"
0.218 9 20 "Hoeff"
0.148 10 20 "Hoeff"
1 1 21 "Hoeff"
1 2 21 "Hoeff"
1 3 21 "Hoeff"
1 4 21 "Hoeff"
0.992 5 21 "Hoeff"
0.962 6 21 "Hoeff"
0.84 7 21 "Hoeff"
0.758 8 21 "Hoeff"
0.622 9 21 "Hoeff"
0.532 10 21 "Hoeff"
1 1 22 "Hoeff"
1 2 22 "Hoeff"
1 3 22 "Hoeff"
1 4 22 "Hoeff"
0.944 5 22 "Hoeff"
0.824 6 22 "Hoeff"
0.682 7 22 "Hoeff"
0.578 8 22 "Hoeff"
0.358 9 22 "Hoeff"
0.376 10 22 "Hoeff"
1 1 23 "Hoeff"
1 2 23 "Hoeff"
0.996 3 23 "Hoeff"
0.904 4 23 "Hoeff"
0.64 5 23 "Hoeff"
0.53 6 23 "Hoeff"
0.39 7 23 "Hoeff"
0.262 8 23 "Hoeff"
0.184 9 23 "Hoeff"
0.184 10 23 "Hoeff"
1 1 24 "Hoeff"
1 2 24 "Hoeff"
1 3 24 "Hoeff"
1 4 24 "Hoeff"
0.98 5 24 "Hoeff"
0.88 6 24 "Hoeff"
0.82 7 24 "Hoeff"
0.716 8 24 "Hoeff"
0.582 9 24 "Hoeff"
0.372 10 24 "Hoeff"
1 1 25 "Hoeff"
1 2 25 "Hoeff"
1 3 25 "Hoeff"
0.998 4 25 "Hoeff"
0.962 5 25 "Hoeff"
0.806 6 25 "Hoeff"
0.652 7 25 "Hoeff"
0.566 8 25 "Hoeff"
0.42 9 25 "Hoeff"
0.386 10 25 "Hoeff"
1 1 26 "Hoeff"
0.996 2 26 "Hoeff"
0.796 3 26 "Hoeff"
0.456 4 26 "Hoeff"
0.292 5 26 "Hoeff"
0.186 6 26 "Hoeff"
0.166 7 26 "Hoeff"
0.168 8 26 "Hoeff"
0.108 9 26 "Hoeff"
0.094 10 26 "Hoeff"
1 1 27 "Hoeff"
1 2 27 "Hoeff"
1 3 27 "Hoeff"
1 4 27 "Hoeff"
0.996 5 27 "Hoeff"
0.944 6 27 "Hoeff"
0.872 7 27 "Hoeff"
0.756 8 27 "Hoeff"
0.668 9 27 "Hoeff"
0.556 10 27 "Hoeff"
1 1 28 "Hoeff"
1 2 28 "Hoeff"
1 3 28 "Hoeff"
1 4 28 "Hoeff"
1 5 28 "Hoeff"
0.988 6 28 "Hoeff"
0.926 7 28 "Hoeff"
0.866 8 28 "Hoeff"
0.796 9 28 "Hoeff"
0.636 10 28 "Hoeff"
1 1 29 "Hoeff"
1 2 29 "Hoeff"
1 3 29 "Hoeff"
0.998 4 29 "Hoeff"
0.942 5 29 "Hoeff"
0.784 6 29 "Hoeff"
0.624 7 29 "Hoeff"
0.484 8 29 "Hoeff"
0.448 9 29 "Hoeff"
0.338 10 29 "Hoeff"
1 1 30 "Hoeff"
0.998 2 30 "Hoeff"
0.89 3 30 "Hoeff"
0.604 4 30 "Hoeff"
0.37 5 30 "Hoeff"
0.238 6 30 "Hoeff"
0.266 7 30 "Hoeff"
0.192 8 30 "Hoeff"
0.126 9 30 "Hoeff"
0.076 10 30 "Hoeff"
1 1 31 "Hoeff"
1 2 31 "Hoeff"
0.934 3 31 "Hoeff"
0.616 4 31 "Hoeff"
0.394 5 31 "Hoeff"
0.236 6 31 "Hoeff"
0.148 7 31 "Hoeff"
0.19 8 31 "Hoeff"
0.13 9 31 "Hoeff"
0.092 10 31 "Hoeff"
1 1 32 "Hoeff"
1 2 32 "Hoeff"
1 3 32 "Hoeff"
0.942 4 32 "Hoeff"
0.774 5 32 "Hoeff"
0.552 6 32 "Hoeff"
0.388 7 32 "Hoeff"
0.292 8 32 "Hoeff"
0.19 9 32 "Hoeff"
0.162 10 32 "Hoeff"
1 1 33 "Hoeff"
1 2 33 "Hoeff"
1 3 33 "Hoeff"
0.998 4 33 "Hoeff"
0.874 5 33 "Hoeff"
0.654 6 33 "Hoeff"
0.554 7 33 "Hoeff"
0.368 8 33 "Hoeff"
0.308 9 33 "Hoeff"
0.292 10 33 "Hoeff"
1 1 34 "Hoeff"
1 2 34 "Hoeff"
1 3 34 "Hoeff"
1 4 34 "Hoeff"
1 5 34 "Hoeff"
1 6 34 "Hoeff"
0.996 7 34 "Hoeff"
0.996 8 34 "Hoeff"
0.974 9 34 "Hoeff"
0.944 10 34 "Hoeff"
1 1 35 "Hoeff"
1 2 35 "Hoeff"
0.85 3 35 "Hoeff"
0.562 4 35 "Hoeff"
0.312 5 35 "Hoeff"
0.174 6 35 "Hoeff"
0.112 7 35 "Hoeff"
0.11 8 35 "Hoeff"
0.098 9 35 "Hoeff"
0.094 10 35 "Hoeff"
1 1 36 "Hoeff"
0.256 2 36 "Hoeff"
0.12 3 36 "Hoeff"
0.058 4 36 "Hoeff"
0.08 5 36 "Hoeff"
0.056 6 36 "Hoeff"
0.046 7 36 "Hoeff"
0.066 8 36 "Hoeff"
0.05 9 36 "Hoeff"
0.072 10 36 "Hoeff"
1 1 37 "Hoeff"
1 2 37 "Hoeff"
1 3 37 "Hoeff"
1 4 37 "Hoeff"
1 5 37 "Hoeff"
1 6 37 "Hoeff"
1 7 37 "Hoeff"
1 8 37 "Hoeff"
0.996 9 37 "Hoeff"
0.98 10 37 "Hoeff"
1 1 38 "Hoeff"
1 2 38 "Hoeff"
0.976 3 38 "Hoeff"
0.666 4 38 "Hoeff"
0.494 5 38 "Hoeff"
0.324 6 38 "Hoeff"
0.224 7 38 "Hoeff"
0.186 8 38 "Hoeff"
0.116 9 38 "Hoeff"
0.106 10 38 "Hoeff"
1 1 39 "Hoeff"
1 2 39 "Hoeff"
1 3 39 "Hoeff"
0.95 4 39 "Hoeff"
0.722 5 39 "Hoeff"
0.558 6 39 "Hoeff"
0.43 7 39 "Hoeff"
0.314 8 39 "Hoeff"
0.268 9 39 "Hoeff"
0.226 10 39 "Hoeff"
1 1 40 "Hoeff"
0.954 2 40 "Hoeff"
0.59 3 40 "Hoeff"
0.272 4 40 "Hoeff"
0.092 5 40 "Hoeff"
0.138 6 40 "Hoeff"
0.136 7 40 "Hoeff"
0.096 8 40 "Hoeff"
0.098 9 40 "Hoeff"
0.074 10 40 "Hoeff"
1 1 41 "Hoeff"
1 2 41 "Hoeff"
1 3 41 "Hoeff"
1 4 41 "Hoeff"
0.992 5 41 "Hoeff"
0.908 6 41 "Hoeff"
0.828 7 41 "Hoeff"
0.682 8 41 "Hoeff"
0.612 9 41 "Hoeff"
0.414 10 41 "Hoeff"
1 1 42 "Hoeff"
1 2 42 "Hoeff"
1 3 42 "Hoeff"
1 4 42 "Hoeff"
0.986 5 42 "Hoeff"
0.942 6 42 "Hoeff"
0.862 7 42 "Hoeff"
0.736 8 42 "Hoeff"
0.57 9 42 "Hoeff"
0.458 10 42 "Hoeff"
1 1 43 "Hoeff"
1 2 43 "Hoeff"
0.998 3 43 "Hoeff"
0.94 4 43 "Hoeff"
0.646 5 43 "Hoeff"
0.608 6 43 "Hoeff"
0.348 7 43 "Hoeff"
0.304 8 43 "Hoeff"
0.262 9 43 "Hoeff"
0.214 10 43 "Hoeff"
1 1 44 "Hoeff"
1 2 44 "Hoeff"
0.998 3 44 "Hoeff"
0.944 4 44 "Hoeff"
0.776 5 44 "Hoeff"
0.544 6 44 "Hoeff"
0.418 7 44 "Hoeff"
0.316 8 44 "Hoeff"
0.284 9 44 "Hoeff"
0.214 10 44 "Hoeff"
1 1 45 "Hoeff"
1 2 45 "Hoeff"
1 3 45 "Hoeff"
1 4 45 "Hoeff"
0.94 5 45 "Hoeff"
0.782 6 45 "Hoeff"
0.726 7 45 "Hoeff"
0.532 8 45 "Hoeff"
0.374 9 45 "Hoeff"
0.356 10 45 "Hoeff"
1 1 46 "Hoeff"
1 2 46 "Hoeff"
1 3 46 "Hoeff"
1 4 46 "Hoeff"
1 5 46 "Hoeff"
0.998 6 46 "Hoeff"
0.954 7 46 "Hoeff"
0.91 8 46 "Hoeff"
0.84 9 46 "Hoeff"
0.712 10 46 "Hoeff"
1 1 47 "Hoeff"
1 2 47 "Hoeff"
1 3 47 "Hoeff"
1 4 47 "Hoeff"
1 5 47 "Hoeff"
1 6 47 "Hoeff"
0.988 7 47 "Hoeff"
0.93 8 47 "Hoeff"
0.802 9 47 "Hoeff"
0.74 10 47 "Hoeff"
1 1 48 "Hoeff"
1 2 48 "Hoeff"
0.958 3 48 "Hoeff"
0.67 4 48 "Hoeff"
0.428 5 48 "Hoeff"
0.284 6 48 "Hoeff"
0.172 7 48 "Hoeff"
0.166 8 48 "Hoeff"
0.118 9 48 "Hoeff"
0.12 10 48 "Hoeff"
1 1 49 "Hoeff"
1 2 49 "Hoeff"
1 3 49 "Hoeff"
1 4 49 "Hoeff"
1 5 49 "Hoeff"
1 6 49 "Hoeff"
0.994 7 49 "Hoeff"
0.972 8 49 "Hoeff"
0.91 9 49 "Hoeff"
0.862 10 49 "Hoeff"
1 1 50 "Hoeff"
1 2 50 "Hoeff"
0.824 3 50 "Hoeff"
0.538 4 50 "Hoeff"
0.316 5 50 "Hoeff"
0.234 6 50 "Hoeff"
0.196 7 50 "Hoeff"
0.15 8 50 "Hoeff"
0.124 9 50 "Hoeff"
0.108 10 50 "Hoeff"
1 1 51 "Hoeff"
1 2 51 "Hoeff"
1 3 51 "Hoeff"
1 4 51 "Hoeff"
1 5 51 "Hoeff"
1 6 51 "Hoeff"
1 7 51 "Hoeff"
0.998 8 51 "Hoeff"
0.982 9 51 "Hoeff"
0.96 10 51 "Hoeff"
1 1 52 "Hoeff"
1 2 52 "Hoeff"
1 3 52 "Hoeff"
0.996 4 52 "Hoeff"
0.918 5 52 "Hoeff"
0.732 6 52 "Hoeff"
0.63 7 52 "Hoeff"
0.508 8 52 "Hoeff"
0.43 9 52 "Hoeff"
0.316 10 52 "Hoeff"
1 1 53 "Hoeff"
1 2 53 "Hoeff"
0.998 3 53 "Hoeff"
0.922 4 53 "Hoeff"
0.712 5 53 "Hoeff"
0.516 6 53 "Hoeff"
0.392 7 53 "Hoeff"
0.214 8 53 "Hoeff"
0.186 9 53 "Hoeff"
0.204 10 53 "Hoeff"
1 1 54 "Hoeff"
1 2 54 "Hoeff"
1 3 54 "Hoeff"
0.956 4 54 "Hoeff"
0.848 5 54 "Hoeff"
0.602 6 54 "Hoeff"
0.386 7 54 "Hoeff"
0.334 8 54 "Hoeff"
0.24 9 54 "Hoeff"
0.16 10 54 "Hoeff"
1 1 55 "Hoeff"
0.996 2 55 "Hoeff"
0.72 3 55 "Hoeff"
0.362 4 55 "Hoeff"
0.246 5 55 "Hoeff"
0.146 6 55 "Hoeff"
0.15 7 55 "Hoeff"
0.08 8 55 "Hoeff"
0.104 9 55 "Hoeff"
0.078 10 55 "Hoeff"
1 1 56 "Hoeff"
1 2 56 "Hoeff"
1 3 56 "Hoeff"
1 4 56 "Hoeff"
0.996 5 56 "Hoeff"
0.918 6 56 "Hoeff"
0.824 7 56 "Hoeff"
0.624 8 56 "Hoeff"
0.58 9 56 "Hoeff"
0.398 10 56 "Hoeff"
1 1 57 "Hoeff"
1 2 57 "Hoeff"
1 3 57 "Hoeff"
0.972 4 57 "Hoeff"
0.878 5 57 "Hoeff"
0.696 6 57 "Hoeff"
0.47 7 57 "Hoeff"
0.426 8 57 "Hoeff"
0.35 9 57 "Hoeff"
0.294 10 57 "Hoeff"
1 1 58 "Hoeff"
1 2 58 "Hoeff"
1 3 58 "Hoeff"
0.96 4 58 "Hoeff"
0.87 5 58 "Hoeff"
0.704 6 58 "Hoeff"
0.508 7 58 "Hoeff"
0.386 8 58 "Hoeff"
0.336 9 58 "Hoeff"
0.274 10 58 "Hoeff"
1 1 59 "Hoeff"
1 2 59 "Hoeff"
1 3 59 "Hoeff"
1 4 59 "Hoeff"
0.97 5 59 "Hoeff"
0.85 6 59 "Hoeff"
0.696 7 59 "Hoeff"
0.598 8 59 "Hoeff"
0.554 9 59 "Hoeff"
0.412 10 59 "Hoeff"
1 1 60 "Hoeff"
1 2 60 "Hoeff"
1 3 60 "Hoeff"
0.938 4 60 "Hoeff"
0.788 5 60 "Hoeff"
0.606 6 60 "Hoeff"
0.508 7 60 "Hoeff"
0.3 8 60 "Hoeff"
0.2 9 60 "Hoeff"
0.172 10 60 "Hoeff"
1 1 61 "Hoeff"
1 2 61 "Hoeff"
1 3 61 "Hoeff"
1 4 61 "Hoeff"
1 5 61 "Hoeff"
1 6 61 "Hoeff"
0.99 7 61 "Hoeff"
0.982 8 61 "Hoeff"
0.936 9 61 "Hoeff"
0.792 10 61 "Hoeff"
1 1 62 "Hoeff"
0.994 2 62 "Hoeff"
0.628 3 62 "Hoeff"
0.302 4 62 "Hoeff"
0.196 5 62 "Hoeff"
0.152 6 62 "Hoeff"
0.122 7 62 "Hoeff"
0.13 8 62 "Hoeff"
0.09 9 62 "Hoeff"
0.052 10 62 "Hoeff"
1 1 63 "Hoeff"
1 2 63 "Hoeff"
1 3 63 "Hoeff"
1 4 63 "Hoeff"
0.978 5 63 "Hoeff"
0.874 6 63 "Hoeff"
0.748 7 63 "Hoeff"
0.582 8 63 "Hoeff"
0.514 9 63 "Hoeff"
0.412 10 63 "Hoeff"
1 1 64 "Hoeff"
1 2 64 "Hoeff"
1 3 64 "Hoeff"
1 4 64 "Hoeff"
1 5 64 "Hoeff"
0.984 6 64 "Hoeff"
0.914 7 64 "Hoeff"
0.814 8 64 "Hoeff"
0.66 9 64 "Hoeff"
0.584 10 64 "Hoeff"
1 1 65 "Hoeff"
1 2 65 "Hoeff"
0.904 3 65 "Hoeff"
0.53 4 65 "Hoeff"
0.376 5 65 "Hoeff"
0.224 6 65 "Hoeff"
0.17 7 65 "Hoeff"
0.158 8 65 "Hoeff"
0.072 9 65 "Hoeff"
0.102 10 65 "Hoeff"
1 1 66 "Hoeff"
1 2 66 "Hoeff"
1 3 66 "Hoeff"
0.93 4 66 "Hoeff"
0.732 5 66 "Hoeff"
0.508 6 66 "Hoeff"
0.344 7 66 "Hoeff"
0.278 8 66 "Hoeff"
0.298 9 66 "Hoeff"
0.25 10 66 "Hoeff"
1 1 67 "Hoeff"
1 2 67 "Hoeff"
0.958 3 67 "Hoeff"
0.516 4 67 "Hoeff"
0.286 5 67 "Hoeff"
0.224 6 67 "Hoeff"
0.134 7 67 "Hoeff"
0.118 8 67 "Hoeff"
0.108 9 67 "Hoeff"
0.084 10 67 "Hoeff"
1 1 68 "Hoeff"
1 2 68 "Hoeff"
1 3 68 "Hoeff"
1 4 68 "Hoeff"
1 5 68 "Hoeff"
1 6 68 "Hoeff"
1 7 68 "Hoeff"
0.986 8 68 "Hoeff"
0.95 9 68 "Hoeff"
0.896 10 68 "Hoeff"
1 1 69 "Hoeff"
1 2 69 "Hoeff"
0.99 3 69 "Hoeff"
0.894 4 69 "Hoeff"
0.622 5 69 "Hoeff"
0.476 6 69 "Hoeff"
0.362 7 69 "Hoeff"
0.232 8 69 "Hoeff"
0.234 9 69 "Hoeff"
0.236 10 69 "Hoeff"
1 1 70 "Hoeff"
1 2 70 "Hoeff"
1 3 70 "Hoeff"
1 4 70 "Hoeff"
1 5 70 "Hoeff"
0.998 6 70 "Hoeff"
0.96 7 70 "Hoeff"
0.88 8 70 "Hoeff"
0.8 9 70 "Hoeff"
0.564 10 70 "Hoeff"
1 1 71 "Hoeff"
1 2 71 "Hoeff"
1 3 71 "Hoeff"
0.998 4 71 "Hoeff"
0.952 5 71 "Hoeff"
0.848 6 71 "Hoeff"
0.6 7 71 "Hoeff"
0.51 8 71 "Hoeff"
0.42 9 71 "Hoeff"
0.352 10 71 "Hoeff"
1 1 72 "Hoeff"
1 2 72 "Hoeff"
1 3 72 "Hoeff"
1 4 72 "Hoeff"
0.992 5 72 "Hoeff"
0.932 6 72 "Hoeff"
0.858 7 72 "Hoeff"
0.59 8 72 "Hoeff"
0.522 9 72 "Hoeff"
0.436 10 72 "Hoeff"
1 1 73 "Hoeff"
1 2 73 "Hoeff"
1 3 73 "Hoeff"
1 4 73 "Hoeff"
1 5 73 "Hoeff"
0.998 6 73 "Hoeff"
0.976 7 73 "Hoeff"
0.914 8 73 "Hoeff"
0.828 9 73 "Hoeff"
0.746 10 73 "Hoeff"
1 1 74 "Hoeff"
1 2 74 "Hoeff"
0.894 3 74 "Hoeff"
0.626 4 74 "Hoeff"
0.406 5 74 "Hoeff"
0.262 6 74 "Hoeff"
0.178 7 74 "Hoeff"
0.166 8 74 "Hoeff"
0.134 9 74 "Hoeff"
0.114 10 74 "Hoeff"
1 1 75 "Hoeff"
1 2 75 "Hoeff"
1 3 75 "Hoeff"
1 4 75 "Hoeff"
1 5 75 "Hoeff"
0.972 6 75 "Hoeff"
0.878 7 75 "Hoeff"
0.802 8 75 "Hoeff"
0.59 9 75 "Hoeff"
0.586 10 75 "Hoeff"
1 1 76 "Hoeff"
1 2 76 "Hoeff"
1 3 76 "Hoeff"
1 4 76 "Hoeff"
0.988 5 76 "Hoeff"
0.932 6 76 "Hoeff"
0.776 7 76 "Hoeff"
0.686 8 76 "Hoeff"
0.526 9 76 "Hoeff"
0.438 10 76 "Hoeff"
1 1 77 "Hoeff"
0.938 2 77 "Hoeff"
0.432 3 77 "Hoeff"
0.294 4 77 "Hoeff"
0.15 5 77 "Hoeff"
0.1 6 77 "Hoeff"
0.128 7 77 "Hoeff"
0.086 8 77 "Hoeff"
0.062 9 77 "Hoeff"
0.038 10 77 "Hoeff"
1 1 78 "Hoeff"
1 2 78 "Hoeff"
1 3 78 "Hoeff"
0.928 4 78 "Hoeff"
0.738 5 78 "Hoeff"
0.53 6 78 "Hoeff"
0.328 7 78 "Hoeff"
0.31 8 78 "Hoeff"
0.214 9 78 "Hoeff"
0.236 10 78 "Hoeff"
1 1 79 "Hoeff"
1 2 79 "Hoeff"
1 3 79 "Hoeff"
0.998 4 79 "Hoeff"
0.992 5 79 "Hoeff"
0.944 6 79 "Hoeff"
0.86 7 79 "Hoeff"
0.72 8 79 "Hoeff"
0.55 9 79 "Hoeff"
0.494 10 79 "Hoeff"
1 1 80 "Hoeff"
1 2 80 "Hoeff"
0.62 3 80 "Hoeff"
0.254 4 80 "Hoeff"
0.152 5 80 "Hoeff"
0.098 6 80 "Hoeff"
0.08 7 80 "Hoeff"
0.05 8 80 "Hoeff"
0.07 9 80 "Hoeff"
0.082 10 80 "Hoeff"
1 1 81 "Hoeff"
1 2 81 "Hoeff"
1 3 81 "Hoeff"
0.998 4 81 "Hoeff"
0.954 5 81 "Hoeff"
0.866 6 81 "Hoeff"
0.686 7 81 "Hoeff"
0.638 8 81 "Hoeff"
0.488 9 81 "Hoeff"
0.37 10 81 "Hoeff"
1 1 82 "Hoeff"
0.582 2 82 "Hoeff"
0.152 3 82 "Hoeff"
0.08 4 82 "Hoeff"
0.064 5 82 "Hoeff"
0.05 6 82 "Hoeff"
0.066 7 82 "Hoeff"
0.068 8 82 "Hoeff"
0.028 9 82 "Hoeff"
0.06 10 82 "Hoeff"
1 1 83 "Hoeff"
0.992 2 83 "Hoeff"
0.53 3 83 "Hoeff"
0.27 4 83 "Hoeff"
0.146 5 83 "Hoeff"
0.106 6 83 "Hoeff"
0.084 7 83 "Hoeff"
0.07 8 83 "Hoeff"
0.048 9 83 "Hoeff"
0.048 10 83 "Hoeff"
1 1 84 "Hoeff"
1 2 84 "Hoeff"
0.998 3 84 "Hoeff"
0.898 4 84 "Hoeff"
0.634 5 84 "Hoeff"
0.428 6 84 "Hoeff"
0.248 7 84 "Hoeff"
0.234 8 84 "Hoeff"
0.196 9 84 "Hoeff"
0.162 10 84 "Hoeff"
1 1 85 "Hoeff"
1 2 85 "Hoeff"
0.69 3 85 "Hoeff"
0.29 4 85 "Hoeff"
0.214 5 85 "Hoeff"
0.154 6 85 "Hoeff"
0.08 7 85 "Hoeff"
0.082 8 85 "Hoeff"
0.088 9 85 "Hoeff"
0.062 10 85 "Hoeff"
1 1 86 "Hoeff"
1 2 86 "Hoeff"
1 3 86 "Hoeff"
1 4 86 "Hoeff"
0.968 5 86 "Hoeff"
0.862 6 86 "Hoeff"
0.686 7 86 "Hoeff"
0.626 8 86 "Hoeff"
0.452 9 86 "Hoeff"
0.352 10 86 "Hoeff"
1 1 87 "Hoeff"
0.996 2 87 "Hoeff"
0.502 3 87 "Hoeff"
0.274 4 87 "Hoeff"
0.146 5 87 "Hoeff"
0.084 6 87 "Hoeff"
0.134 7 87 "Hoeff"
0.074 8 87 "Hoeff"
0.1 9 87 "Hoeff"
0.06 10 87 "Hoeff"
1 1 88 "Hoeff"
1 2 88 "Hoeff"
1 3 88 "Hoeff"
0.88 4 88 "Hoeff"
0.564 5 88 "Hoeff"
0.34 6 88 "Hoeff"
