"acc_train" "acc_test" "test_lower" "test_upper" "Method"
0.839092307692308 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.83579706959707 0.838709677419355 0.723320154165078 0.919846935083223 "dcor"
0.85198315018315 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.86200293040293 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.848010989010989 0.919354838709677 0.821747406867766 0.973295383204164 "dcor"
0.861876923076923 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.860457875457875 0.758064516129032 0.632550292814055 0.857813964151982 "xicor"
0.85629010989011 0.806451612903226 0.686314048300537 0.895790370737824 "xicor"
0.835837362637363 0.854838709677419 0.742243137270859 0.931411387376539 "xicor"
0.854520146520147 0.854838709677419 0.742243137270859 0.931411387376539 "xicor"
0.834485714285714 0.838709677419355 0.723320154165078 0.919846935083223 "xicor"
0.860122344322344 0.82258064516129 0.704686678529349 0.907961604082047 "xicor"
0.828452747252747 0.887096774193548 0.781113213479142 0.953383375627183 "xicor"
0.871475457875458 0.806451612903226 0.686314048300537 0.895790370737824 "xicor"
0.84334358974359 0.82258064516129 0.704686678529349 0.907961604082047 "xicor"
0.826421978021978 0.870967741935484 0.761491863618209 0.942609994392978 "xicor"
0.876944322344322 0.758064516129032 0.632550292814055 0.857813964151982 "xicor"
0.877637362637363 0.725806451612903 0.597683842594978 0.831457055070029 "xicor"
0.863654945054945 0.82258064516129 0.704686678529349 0.907961604082047 "xicor"
0.833769963369963 0.870967741935484 0.761491863618209 0.942609994392978 "xicor"
0.803775091575092 0.854838709677419 0.742243137270859 0.931411387376539 "xicor"
0.850706227106227 0.838709677419355 0.723320154165078 0.919846935083223 "xicor"
0.861041025641026 0.887096774193548 0.781113213479142 0.953383375627183 "xicor"
0.844089377289377 0.82258064516129 0.704686678529349 0.907961604082047 "xicor"
0.833757509157509 0.838709677419355 0.723320154165078 0.919846935083223 "xicor"
0.839961172161172 0.870967741935484 0.761491863618209 0.942609994392978 "xicor"
0.824536996336996 0.919354838709677 0.821747406867766 0.973295383204164 "xicor"
0.844191941391941 0.82258064516129 0.704686678529349 0.907961604082047 "xicor"
0.82416043956044 0.854838709677419 0.742243137270859 0.931411387376539 "xicor"
0.838352380952381 0.887096774193548 0.781113213479142 0.953383375627183 "xicor"
0.819006593406593 0.887096774193548 0.781113213479142 0.953383375627183 "xicor"
0.825830769230769 0.887096774193548 0.781113213479142 0.953383375627183 "xicor"
0.845368498168498 0.838709677419355 0.723320154165078 0.919846935083223 "xicor"
0.816380952380952 0.838709677419355 0.723320154165078 0.919846935083223 "xicor"
0.819222710622711 0.919354838709677 0.821747406867766 0.973295383204164 "xicor"
0.851717216117216 0.838709677419355 0.723320154165078 0.919846935083223 "xicor"
0.849258608058608 0.806451612903226 0.686314048300537 0.895790370737824 "xicor"
0.836825641025641 0.854838709677419 0.742243137270859 0.931411387376539 "xicor"
0.827821978021978 0.903225806451613 0.801169623701541 0.963650418307025 "xicor"
0.851846153846154 0.82258064516129 0.704686678529349 0.907961604082047 "xicor"
0.838770695970696 0.870967741935484 0.761491863618209 0.942609994392978 "xicor"
