"power" "noise" "d_type" "method"
0.092 12 "step" "cor"
0.062 13 "step" "cor"
0.074 14 "step" "cor"
0.07 15 "step" "cor"
0.044 16 "step" "cor"
0.058 17 "step" "cor"
0.07 18 "step" "cor"
0.09 19 "step" "cor"
0.076 20 "step" "cor"
0.06 21 "step" "cor"
0.072 22 "step" "cor"
0.046 23 "step" "cor"
0.068 24 "step" "cor"
0.044 25 "step" "cor"
0.054 26 "step" "cor"
0.058 27 "step" "cor"
0.056 28 "step" "cor"
0.056 29 "step" "cor"
0.056 30 "step" "cor"
0.184 1 "cross" "cor"
0.152 2 "cross" "cor"
0.154 3 "cross" "cor"
0.152 4 "cross" "cor"
0.162 5 "cross" "cor"
0.144 6 "cross" "cor"
0.106 7 "cross" "cor"
0.11 8 "cross" "cor"
0.114 9 "cross" "cor"
0.09 10 "cross" "cor"
0.092 11 "cross" "cor"
0.06 12 "cross" "cor"
0.102 13 "cross" "cor"
0.086 14 "cross" "cor"
0.1 15 "cross" "cor"
0.114 16 "cross" "cor"
0.068 17 "cross" "cor"
0.07 18 "cross" "cor"
0.08 19 "cross" "cor"
0.054 20 "cross" "cor"
0.116 21 "cross" "cor"
0.074 22 "cross" "cor"
0.058 23 "cross" "cor"
0.048 24 "cross" "cor"
0.082 25 "cross" "cor"
0.104 26 "cross" "cor"
0.082 27 "cross" "cor"
0.058 28 "cross" "cor"
0.056 29 "cross" "cor"
0.07 30 "cross" "cor"
0.172 1 "clusters" "cor"
0.234 2 "clusters" "cor"
0.194 3 "clusters" "cor"
0.168 4 "clusters" "cor"
0.122 5 "clusters" "cor"
0.16 6 "clusters" "cor"
0.134 7 "clusters" "cor"
0.104 8 "clusters" "cor"
0.14 9 "clusters" "cor"
0.166 10 "clusters" "cor"
0.098 11 "clusters" "cor"
0.106 12 "clusters" "cor"
0.152 13 "clusters" "cor"
0.12 14 "clusters" "cor"
0.082 15 "clusters" "cor"
0.092 16 "clusters" "cor"
0.104 17 "clusters" "cor"
0.072 18 "clusters" "cor"
0.066 19 "clusters" "cor"
0.106 20 "clusters" "cor"
0.1 21 "clusters" "cor"
0.102 22 "clusters" "cor"
0.058 23 "clusters" "cor"
0.078 24 "clusters" "cor"
0.078 25 "clusters" "cor"
0.066 26 "clusters" "cor"
0.072 27 "clusters" "cor"
0.056 28 "clusters" "cor"
0.072 29 "clusters" "cor"
0.048 30 "clusters" "cor"
0.17 1 "two parabola" "cor"
0.174 2 "two parabola" "cor"
0.106 3 "two parabola" "cor"
0.168 4 "two parabola" "cor"
0.13 5 "two parabola" "cor"
0.142 6 "two parabola" "cor"
0.148 7 "two parabola" "cor"
0.146 8 "two parabola" "cor"
0.09 9 "two parabola" "cor"
0.064 10 "two parabola" "cor"
0.104 11 "two parabola" "cor"
0.078 12 "two parabola" "cor"
0.074 13 "two parabola" "cor"
0.1 14 "two parabola" "cor"
0.086 15 "two parabola" "cor"
0.1 16 "two parabola" "cor"
0.114 17 "two parabola" "cor"
0.084 18 "two parabola" "cor"
0.044 19 "two parabola" "cor"
0.08 20 "two parabola" "cor"
0.078 21 "two parabola" "cor"
0.054 22 "two parabola" "cor"
0.082 23 "two parabola" "cor"
0.076 24 "two parabola" "cor"
0.046 25 "two parabola" "cor"
0.046 26 "two parabola" "cor"
0.076 27 "two parabola" "cor"
0.036 28 "two parabola" "cor"
0.098 29 "two parabola" "cor"
0.076 30 "two parabola" "cor"
0.066 1 "spiral" "cor"
0.072 2 "spiral" "cor"
0.054 3 "spiral" "cor"
0.072 4 "spiral" "cor"
0.058 5 "spiral" "cor"
0.072 6 "spiral" "cor"
0.05 7 "spiral" "cor"
0.072 8 "spiral" "cor"
0.046 9 "spiral" "cor"
0.066 10 "spiral" "cor"
0.036 11 "spiral" "cor"
0.06 12 "spiral" "cor"
0.062 13 "spiral" "cor"
0.068 14 "spiral" "cor"
0.074 15 "spiral" "cor"
0.062 16 "spiral" "cor"
0.03 17 "spiral" "cor"
0.054 18 "spiral" "cor"
0.036 19 "spiral" "cor"
0.048 20 "spiral" "cor"
0.056 21 "spiral" "cor"
0.056 22 "spiral" "cor"
0.07 23 "spiral" "cor"
0.078 24 "spiral" "cor"
0.04 25 "spiral" "cor"
0.044 26 "spiral" "cor"
0.03 27 "spiral" "cor"
0.036 28 "spiral" "cor"
0.04 29 "spiral" "cor"
0.062 30 "spiral" "cor"
1 1 "linear" "dcor"
1 2 "linear" "dcor"
0.992 3 "linear" "dcor"
0.898 4 "linear" "dcor"
0.72 5 "linear" "dcor"
0.552 6 "linear" "dcor"
0.464 7 "linear" "dcor"
0.404 8 "linear" "dcor"
0.316 9 "linear" "dcor"
0.246 10 "linear" "dcor"
0.258 11 "linear" "dcor"
0.202 12 "linear" "dcor"
0.166 13 "linear" "dcor"
0.104 14 "linear" "dcor"
0.138 15 "linear" "dcor"
0.1 16 "linear" "dcor"
0.128 17 "linear" "dcor"
0.16 18 "linear" "dcor"
0.116 19 "linear" "dcor"
0.106 20 "linear" "dcor"
