"power" "noise" "d_type" "method"
0.148 25 "spiral" "ar"
0.14 26 "spiral" "ar"
0.142 27 "spiral" "ar"
0.146 28 "spiral" "ar"
0.116 29 "spiral" "ar"
0.122 30 "spiral" "ar"
1 1 "linear" "cor"
1 2 "linear" "cor"
1 3 "linear" "cor"
1 4 "linear" "cor"
1 5 "linear" "cor"
1 6 "linear" "cor"
1 7 "linear" "cor"
1 8 "linear" "cor"
1 9 "linear" "cor"
1 10 "linear" "cor"
0.998 11 "linear" "cor"
0.986 12 "linear" "cor"
0.972 13 "linear" "cor"
0.96 14 "linear" "cor"
0.944 15 "linear" "cor"
0.922 16 "linear" "cor"
0.898 17 "linear" "cor"
0.846 18 "linear" "cor"
0.818 19 "linear" "cor"
0.784 20 "linear" "cor"
0.646 21 "linear" "cor"
0.65 22 "linear" "cor"
0.678 23 "linear" "cor"
0.656 24 "linear" "cor"
0.522 25 "linear" "cor"
0.484 26 "linear" "cor"
0.426 27 "linear" "cor"
0.482 28 "linear" "cor"
0.436 29 "linear" "cor"
0.426 30 "linear" "cor"
0.134 1 "quadratic" "cor"
0.106 2 "quadratic" "cor"
0.102 3 "quadratic" "cor"
0.078 4 "quadratic" "cor"
0.058 5 "quadratic" "cor"
0.072 6 "quadratic" "cor"
0.06 7 "quadratic" "cor"
0.074 8 "quadratic" "cor"
0.042 9 "quadratic" "cor"
0.064 10 "quadratic" "cor"
0.052 11 "quadratic" "cor"
0.058 12 "quadratic" "cor"
0.032 13 "quadratic" "cor"
0.048 14 "quadratic" "cor"
0.058 15 "quadratic" "cor"
0.052 16 "quadratic" "cor"
0.094 17 "quadratic" "cor"
0.096 18 "quadratic" "cor"
0.04 19 "quadratic" "cor"
0.04 20 "quadratic" "cor"
0.038 21 "quadratic" "cor"
0.096 22 "quadratic" "cor"
0.07 23 "quadratic" "cor"
0.048 24 "quadratic" "cor"
0.044 25 "quadratic" "cor"
0.04 26 "quadratic" "cor"
0.038 27 "quadratic" "cor"
0.056 28 "quadratic" "cor"
0.048 29 "quadratic" "cor"
0.06 30 "quadratic" "cor"
1 1 "cubic" "cor"
1 2 "cubic" "cor"
1 3 "cubic" "cor"
1 4 "cubic" "cor"
0.998 5 "cubic" "cor"
0.996 6 "cubic" "cor"
0.984 7 "cubic" "cor"
0.974 8 "cubic" "cor"
0.956 9 "cubic" "cor"
0.902 10 "cubic" "cor"
0.81 11 "cubic" "cor"
0.772 12 "cubic" "cor"
0.792 13 "cubic" "cor"
0.624 14 "cubic" "cor"
0.656 15 "cubic" "cor"
0.562 16 "cubic" "cor"
0.544 17 "cubic" "cor"
0.402 18 "cubic" "cor"
0.418 19 "cubic" "cor"
0.416 20 "cubic" "cor"
0.348 21 "cubic" "cor"
0.302 22 "cubic" "cor"
0.35 23 "cubic" "cor"
0.306 24 "cubic" "cor"
0.234 25 "cubic" "cor"
0.25 26 "cubic" "cor"
0.24 27 "cubic" "cor"
0.204 28 "cubic" "cor"
0.268 29 "cubic" "cor"
0.164 30 "cubic" "cor"
1 1 "sine period 1/2" "cor"
1 2 "sine period 1/2" "cor"
1 3 "sine period 1/2" "cor"
0.996 4 "sine period 1/2" "cor"
0.986 5 "sine period 1/2" "cor"
0.954 6 "sine period 1/2" "cor"
0.92 7 "sine period 1/2" "cor"
0.804 8 "sine period 1/2" "cor"
0.718 9 "sine period 1/2" "cor"
0.644 10 "sine period 1/2" "cor"
0.574 11 "sine period 1/2" "cor"
0.502 12 "sine period 1/2" "cor"
0.368 13 "sine period 1/2" "cor"
0.44 14 "sine period 1/2" "cor"
0.34 15 "sine period 1/2" "cor"
0.342 16 "sine period 1/2" "cor"
0.288 17 "sine period 1/2" "cor"
0.322 18 "sine period 1/2" "cor"
0.274 19 "sine period 1/2" "cor"
0.182 20 "sine period 1/2" "cor"
0.228 21 "sine period 1/2" "cor"
0.19 22 "sine period 1/2" "cor"
0.164 23 "sine period 1/2" "cor"
0.186 24 "sine period 1/2" "cor"
0.18 25 "sine period 1/2" "cor"
0.154 26 "sine period 1/2" "cor"
0.12 27 "sine period 1/2" "cor"
0.138 28 "sine period 1/2" "cor"
0.124 29 "sine period 1/2" "cor"
0.144 30 "sine period 1/2" "cor"
