"power" "noise" "d_type" "method"
0.4 16 "exp" "Hoeff"
0.362 17 "exp" "Hoeff"
0.338 18 "exp" "Hoeff"
0.276 19 "exp" "Hoeff"
0.266 20 "exp" "Hoeff"
0.232 21 "exp" "Hoeff"
0.214 22 "exp" "Hoeff"
0.192 23 "exp" "Hoeff"
0.214 24 "exp" "Hoeff"
0.218 25 "exp" "Hoeff"
0.18 26 "exp" "Hoeff"
0.15 27 "exp" "Hoeff"
0.172 28 "exp" "Hoeff"
0.116 29 "exp" "Hoeff"
0.194 30 "exp" "Hoeff"
1 1 "log" "Hoeff"
1 2 "log" "Hoeff"
1 3 "log" "Hoeff"
1 4 "log" "Hoeff"
1 5 "log" "Hoeff"
1 6 "log" "Hoeff"
1 7 "log" "Hoeff"
1 8 "log" "Hoeff"
1 9 "log" "Hoeff"
0.986 10 "log" "Hoeff"
0.992 11 "log" "Hoeff"
0.97 12 "log" "Hoeff"
0.952 13 "log" "Hoeff"
0.938 14 "log" "Hoeff"
0.906 15 "log" "Hoeff"
0.818 16 "log" "Hoeff"
0.782 17 "log" "Hoeff"
0.782 18 "log" "Hoeff"
0.704 19 "log" "Hoeff"
0.72 20 "log" "Hoeff"
0.628 21 "log" "Hoeff"
0.58 22 "log" "Hoeff"
0.586 23 "log" "Hoeff"
0.516 24 "log" "Hoeff"
0.458 25 "log" "Hoeff"
0.448 26 "log" "Hoeff"
0.412 27 "log" "Hoeff"
0.422 28 "log" "Hoeff"
0.28 29 "log" "Hoeff"
0.306 30 "log" "Hoeff"
1 1 "exp" "RHoeff"
1 2 "exp" "RHoeff"
1 3 "exp" "RHoeff"
1 4 "exp" "RHoeff"
1 5 "exp" "RHoeff"
0.998 6 "exp" "RHoeff"
0.968 7 "exp" "RHoeff"
0.904 8 "exp" "RHoeff"
0.886 9 "exp" "RHoeff"
0.742 10 "exp" "RHoeff"
0.734 11 "exp" "RHoeff"
0.594 12 "exp" "RHoeff"
0.512 13 "exp" "RHoeff"
0.506 14 "exp" "RHoeff"
0.482 15 "exp" "RHoeff"
0.392 16 "exp" "RHoeff"
0.368 17 "exp" "RHoeff"
0.348 18 "exp" "RHoeff"
0.262 19 "exp" "RHoeff"
0.254 20 "exp" "RHoeff"
0.214 21 "exp" "RHoeff"
0.212 22 "exp" "RHoeff"
0.206 23 "exp" "RHoeff"
0.212 24 "exp" "RHoeff"
0.226 25 "exp" "RHoeff"
0.166 26 "exp" "RHoeff"
0.146 27 "exp" "RHoeff"
0.178 28 "exp" "RHoeff"
0.114 29 "exp" "RHoeff"
0.184 30 "exp" "RHoeff"
1 1 "log" "RHoeff"
1 2 "log" "RHoeff"
1 3 "log" "RHoeff"
1 4 "log" "RHoeff"
1 5 "log" "RHoeff"
1 6 "log" "RHoeff"
1 7 "log" "RHoeff"
1 8 "log" "RHoeff"
1 9 "log" "RHoeff"
0.986 10 "log" "RHoeff"
0.994 11 "log" "RHoeff"
0.974 12 "log" "RHoeff"
0.948 13 "log" "RHoeff"
0.942 14 "log" "RHoeff"
0.908 15 "log" "RHoeff"
0.838 16 "log" "RHoeff"
0.788 17 "log" "RHoeff"
0.792 18 "log" "RHoeff"
0.702 19 "log" "RHoeff"
0.718 20 "log" "RHoeff"
0.64 21 "log" "RHoeff"
0.586 22 "log" "RHoeff"
0.594 23 "log" "RHoeff"
0.514 24 "log" "RHoeff"
0.462 25 "log" "RHoeff"
0.422 26 "log" "RHoeff"
0.406 27 "log" "RHoeff"
0.42 28 "log" "RHoeff"
0.29 29 "log" "RHoeff"
0.314 30 "log" "RHoeff"
1 1 "exp" "BDY"
